time;Model Root/CTRL_VEH/DriverRequest [%]/Value;Model Root/STATUS_BAT/StateOfCharge [%]/Value
0.000000;0.00;70.00
0.010000;0.00;70.00
0.020000;0.00;70.00
0.030000;0.00;70.00
0.040000;0.00;70.00
0.050000;0.00;70.00
0.060000;0.00;70.00
0.070000;0.00;70.00
0.080000;0.00;70.00
0.090000;0.00;70.00
0.100000;0.00;70.00
0.110000;0.00;70.00
0.120000;0.00;70.00
0.130000;0.00;70.00
0.140000;0.00;70.00
0.150000;0.00;70.00
0.160000;0.00;70.00
0.170000;0.00;70.00
0.180000;0.00;70.00
0.190000;0.00;70.00
0.200000;0.00;70.00
0.210000;0.00;70.00
0.220000;0.00;70.00
0.230000;0.00;70.00
0.240000;0.00;70.00
0.250000;0.00;70.00
0.260000;0.00;70.00
0.270000;0.00;70.00
0.280000;0.00;70.00
0.290000;0.00;70.00
0.300000;0.00;70.00
0.310000;0.00;70.00
0.320000;0.00;70.00
0.330000;0.00;70.00
0.340000;0.00;70.00
0.350000;0.00;70.00
0.360000;0.00;70.00
0.370000;0.00;70.00
0.380000;0.00;70.00
0.390000;0.00;70.00
0.400000;0.00;70.00
0.410000;0.00;70.00
0.420000;0.00;70.00
0.430000;0.00;70.00
0.440000;0.00;70.00
0.450000;0.00;70.00
0.460000;0.00;70.00
0.470000;0.00;70.00
0.480000;0.00;70.00
0.490000;0.00;70.00
0.500000;0.00;70.00
0.510000;0.00;70.00
0.520000;0.00;70.00
0.530000;0.00;70.00
0.540000;0.00;70.00
0.550000;0.00;70.00
0.560000;0.00;70.00
0.570000;0.00;70.00
0.580000;0.00;70.00
0.590000;0.00;70.00
0.600000;0.00;70.00
0.610000;0.00;70.00
0.620000;0.00;70.00
0.630000;0.00;70.00
0.640000;0.00;70.00
0.650000;0.00;70.00
0.660000;0.00;70.00
0.670000;0.00;70.00
0.680000;0.00;70.00
0.690000;0.00;70.00
0.700000;0.00;70.00
0.710000;0.00;70.00
0.720000;0.00;70.00
0.730000;0.00;70.00
0.740000;0.00;70.00
0.750000;0.00;70.00
0.760000;0.00;70.00
0.770000;0.00;70.00
0.780000;0.00;70.00
0.790000;0.00;70.00
0.800000;0.00;70.00
0.810000;0.00;70.00
0.820000;0.00;70.00
0.830000;0.00;70.00
0.840000;0.00;70.00
0.850000;0.00;70.00
0.860000;0.00;70.00
0.870000;0.00;70.00
0.880000;0.00;70.00
0.890000;0.00;70.00
0.900000;0.00;70.00
0.910000;0.00;70.00
0.920000;0.00;70.00
0.930000;0.00;70.00
0.940000;0.00;70.00
0.950000;0.00;70.00
0.960000;0.00;70.00
0.970000;0.00;70.00
0.980000;0.00;70.00
0.990000;0.00;70.00
1.000000;0.00;70.00
1.010000;0.00;70.00
1.020000;0.00;70.00
1.030000;0.00;70.00
1.040000;0.00;70.00
1.050000;0.00;70.00
1.060000;0.00;70.00
1.070000;0.00;70.00
1.080000;0.00;70.00
1.090000;0.00;70.00
1.100000;0.00;70.00
1.110000;0.00;70.00
1.120000;0.00;70.00
1.130000;0.00;70.00
1.140000;0.00;70.00
1.150000;0.00;70.00
1.160000;0.00;70.00
1.170000;0.00;70.00
1.180000;0.00;70.00
